,0,1
0,-1.0,-1.93701e-10
1,-0.96,-1.404151e-11
2,-0.9199999999999999,1.473032e-11
3,-0.8799999999999999,3.788924e-11
4,-0.8399999999999999,4.471552e-11
5,-0.7999999999999998,4.972144e-11
6,-0.7599999999999998,4.855845e-11
7,-0.7199999999999998,5.88737e-11
8,-0.6799999999999997,4.997427e-11
9,-0.6399999999999997,6.630678e-11
10,-0.5999999999999996,6.650899e-11
11,-0.5599999999999996,7.824007e-11
12,-0.5199999999999996,1.044328e-10
13,-0.47999999999999954,-1.164367e-10
14,-0.4399999999999995,3.151805e-11
15,-0.39999999999999947,1.718863e-10
16,-0.35999999999999943,1.391708e-10
17,-0.3199999999999994,2.126419e-10
18,-0.27999999999999936,8.102115e-11
19,-0.23999999999999932,4.294574e-11
20,-0.1999999999999993,1.092364e-10
21,-0.15999999999999925,7.348694e-11
22,-0.11999999999999922,5.351379e-11
23,-0.07999999999999918,4.228838e-11
24,-0.03999999999999915,4.936748e-11
25,8.881784197001252e-16,4.314799e-11
26,0.040000000000000924,4.385592e-11
27,0.08000000000000096,5.098558e-11
28,0.120000000000001,5.285645e-11
29,0.16000000000000103,5.199685e-11
30,0.20000000000000107,5.538471e-11
31,0.2400000000000011,6.913844e-11
32,0.28000000000000114,7.818945e-11
33,0.3200000000000012,5.907594e-11
34,0.3600000000000012,6.413246e-11
35,0.40000000000000124,6.49415e-11
36,0.4400000000000013,7.662199e-11
37,0.4800000000000013,1.123714e-10
38,0.5200000000000014,8.071774e-11
39,0.5600000000000014,8.243694e-11
40,0.6000000000000014,1.041799e-10
41,0.6400000000000015,7.844232e-11
42,0.6800000000000015,9.760643e-11
43,0.7200000000000015,1.023594e-10
44,0.7600000000000016,8.28415e-11
45,0.8000000000000016,1.045844e-10
46,0.8400000000000016,1.057474e-10
47,0.8800000000000017,1.176302e-10
48,0.9200000000000017,1.085285e-10
49,0.9600000000000017,1.035732e-10
